area,latitude,longitude,zone_type,date,day_of_week,hour,is_weekend,is_night,crowd_score,crowd_level,estimated_people,capacity,utilisation_pct,has_metro,bus_stops_nearby,isolation_risk,overcrowd_risk,data_source
Bannerghatta Road,12.897482,77.598646,residential,2024-01-05,Friday,11,0,0,0.291,Moderate,1353,4500,29.1,0,7,0.142,0.233,synthetic
Bannerghatta Road,12.896825,77.600587,residential,2024-01-05,Friday,12,0,0,0.371,Moderate,1714,4500,37.1,0,7,0.126,0.297,synthetic
Bannerghatta Road,12.898726,77.599914,residential,2024-01-05,Friday,13,0,0,0.318,Moderate,1580,4500,31.8,0,7,0.136,0.255,synthetic
Bannerghatta Road,12.897015,77.598859,residential,2024-01-05,Friday,14,0,0,0.302,Moderate,1425,4500,30.2,0,7,0.14,0.241,synthetic
Bannerghatta Road,12.900401,77.598332,residential,2024-01-05,Friday,15,0,0,0.365,Moderate,1491,4500,36.5,0,7,0.127,0.292,synthetic
Bannerghatta Road,12.896295,77.594668,residential,2024-01-05,Friday,16,0,0,0.383,Moderate,1860,4500,38.3,0,7,0.123,0.306,synthetic
Bannerghatta Road,12.89595,77.601185,residential,2024-01-05,Friday,17,0,0,0.501,Moderate,2331,4500,50.1,0,7,0.1,0.401,synthetic
Bannerghatta Road,12.902496,77.595835,residential,2024-01-05,Friday,18,0,0,0.482,Moderate,1905,4500,48.2,0,7,0.104,0.385,synthetic
Bannerghatta Road,12.896829,77.596429,residential,2024-01-05,Friday,19,0,0,0.504,Moderate,1986,4500,50.4,0,7,0.099,0.403,synthetic
Bannerghatta Road,12.896108,77.599479,residential,2024-01-05,Friday,20,0,1,0.363,Moderate,1800,4500,36.3,0,7,0.319,0.29,synthetic
Bannerghatta Road,12.896827,77.600616,residential,2024-01-05,Friday,21,0,1,0.322,Moderate,1514,4500,32.2,0,7,0.339,0.258,synthetic
Bannerghatta Road,12.896014,77.597052,residential,2024-01-05,Friday,22,0,1,0.222,Low,1127,4500,22.2,0,7,0.389,0.177,synthetic
Bannerghatta Road,12.901793,77.595597,residential,2024-01-05,Friday,23,0,1,0.107,Low,437,4500,10.7,0,7,0.447,0.085,synthetic
Shivajinagar,12.982341,77.600691,commercial,2024-01-05,Friday,0,0,1,0.108,Low,637,5500,10.8,1,9,0.446,0.086,synthetic
Shivajinagar,12.980723,77.593822,commercial,2024-01-05,Friday,1,0,1,0.056,Low,269,5500,5.6,1,9,0.472,0.045,synthetic
Shivajinagar,12.980052,77.596857,commercial,2024-01-05,Friday,2,0,1,0.089,Low,472,5500,8.9,1,9,0.455,0.072,synthetic
Shivajinagar,12.987958,77.59396,commercial,2024-01-05,Friday,3,0,1,0.07,Low,368,5500,7.0,1,9,0.465,0.056,synthetic
Shivajinagar,12.980926,77.59877,commercial,2024-01-05,Friday,4,0,1,0.034,Low,185,5500,3.4,1,9,0.483,0.027,synthetic
Shivajinagar,12.987233,77.59536,commercial,2024-01-05,Friday,5,0,1,0.084,Low,513,5500,8.4,1,9,0.458,0.067,synthetic
Shivajinagar,12.981978,77.598018,commercial,2024-01-05,Friday,6,0,0,0.124,Low,748,5500,12.4,1,9,0.175,0.099,synthetic
Shivajinagar,12.987019,77.598901,commercial,2024-01-05,Friday,7,0,0,0.199,Low,1059,5500,19.9,1,9,0.16,0.159,synthetic
Shivajinagar,12.987038,77.594331,commercial,2024-01-05,Friday,8,0,0,0.346,Moderate,2165,5500,34.6,1,9,0.131,0.276,synthetic
Shivajinagar,12.987214,77.59383,commercial,2024-01-05,Friday,9,0,0,0.535,Moderate,3294,5500,53.5,1,9,0.093,0.428,synthetic
Shivajinagar,12.984409,77.601113,commercial,2024-01-05,Friday,10,0,0,0.64,High,3492,5500,64.0,1,9,0.072,0.512,synthetic
Shivajinagar,12.985155,77.594586,commercial,2024-01-05,Friday,11,0,0,0.584,High,3352,5500,58.4,1,9,0.083,0.467,synthetic
Shivajinagar,12.982549,77.60146,commercial,2024-01-05,Friday,12,0,0,0.552,High,2727,5500,55.2,1,9,0.09,0.442,synthetic
Shivajinagar,12.981377,77.595849,commercial,2024-01-05,Friday,13,0,0,0.565,High,2824,5500,56.5,1,9,0.087,0.452,synthetic
Shivajinagar,12.985649,77.601123,commercial,2024-01-05,Friday,14,0,0,0.562,High,3004,5500,56.2,1,9,0.088,0.449,synthetic
Shivajinagar,12.980831,77.595084,commercial,2024-01-05,Friday,15,0,0,0.554,High,3347,5500,55.4,1,9,0.089,0.443,synthetic
Shivajinagar,12.985497,77.593812,commercial,2024-01-05,Friday,16,0,0,0.607,High,3242,5500,60.7,1,9,0.079,0.486,synthetic
Shivajinagar,12.986802,77.599923,commercial,2024-01-05,Friday,17,0,0,0.757,High,4607,5500,75.7,1,9,0.049,0.606,synthetic
Shivajinagar,12.985616,77.601459,commercial,2024-01-05,Friday,18,0,0,0.759,High,3800,5500,75.9,1,9,0.048,0.607,synthetic
Shivajinagar,12.986931,77.597389,commercial,2024-01-05,Friday,19,0,0,0.694,High,3927,5500,69.4,1,9,0.061,0.555,synthetic
Shivajinagar,12.986289,77.597576,commercial,2024-01-05,Friday,20,0,1,0.55,High,2952,5500,55.0,1,9,0.225,0.44,synthetic
Shivajinagar,12.987701,77.596483,commercial,2024-01-05,Friday,21,0,1,0.375,Moderate,2201,5500,37.5,1,9,0.313,0.3,synthetic
Shivajinagar,12.98768,77.594534,commercial,2024-01-05,Friday,22,0,1,0.202,Low,1200,5500,20.2,1,9,0.399,0.161,synthetic
Shivajinagar,12.984773,77.597291,commercial,2024-01-05,Friday,23,0,1,0.097,Low,606,5500,9.7,1,9,0.451,0.078,synthetic
Jayanagar,12.92282,77.587225,residential,2024-01-05,Friday,0,0,1,0.075,Low,277,4000,7.5,0,8,0.463,0.06,synthetic
Jayanagar,12.923697,77.587739,residential,2024-01-05,Friday,1,0,1,0.043,Low,188,4000,4.3,0,8,0.478,0.035,synthetic
Jayanagar,12.925937,77.587614,residential,2024-01-05,Friday,2,0,1,0.055,Low,241,4000,5.5,0,8,0.473,0.044,synthetic
Jayanagar,12.926585,77.586594,residential,2024-01-05,Friday,3,0,1,0.057,Low,217,4000,5.7,0,8,0.471,0.046,synthetic
Jayanagar,12.922252,77.586998,residential,2024-01-05,Friday,4,0,1,0.07,Low,290,4000,7.0,0,8,0.465,0.056,synthetic
Jayanagar,12.925059,77.583683,residential,2024-01-05,Friday,5,0,1,0.109,Low,467,4000,10.9,0,8,0.446,0.087,synthetic
Jayanagar,12.929466,77.58369,residential,2024-01-05,Friday,6,0,0,0.127,Low,525,4000,12.7,0,8,0.175,0.102,synthetic
Jayanagar,12.925848,77.58341,residential,2024-01-05,Friday,7,0,0,0.226,Low,892,4000,22.6,0,8,0.155,0.181,synthetic
Jayanagar,12.92419,77.587418,residential,2024-01-05,Friday,8,0,0,0.431,Moderate,1727,4000,43.1,0,8,0.114,0.345,synthetic
Jayanagar,12.927898,77.584967,residential,2024-01-05,Friday,9,0,0,0.349,Moderate,1573,4000,34.9,0,8,0.13,0.279,synthetic
Jayanagar,12.926886,77.58239,residential,2024-01-05,Friday,10,0,0,0.342,Moderate,1469,4000,34.2,0,8,0.132,0.274,synthetic
Jayanagar,12.926498,77.583523,residential,2024-01-05,Friday,11,0,0,0.307,Moderate,1335,4000,30.7,0,8,0.139,0.246,synthetic
Jayanagar,12.928524,77.580754,residential,2024-01-05,Friday,12,0,0,0.351,Moderate,1313,4000,35.1,0,8,0.13,0.281,synthetic
Jayanagar,12.927083,77.583101,residential,2024-01-05,Friday,13,0,0,0.324,Moderate,1200,4000,32.4,0,8,0.135,0.259,synthetic
Jayanagar,12.923943,77.587086,residential,2024-01-05,Friday,14,0,0,0.272,Moderate,1190,4000,27.2,0,8,0.146,0.218,synthetic
Jayanagar,12.923923,77.581819,residential,2024-01-05,Friday,15,0,0,0.317,Moderate,1287,4000,31.7,0,8,0.137,0.254,synthetic
Jayanagar,12.922009,77.580563,residential,2024-01-05,Friday,16,0,0,0.323,Moderate,1183,4000,32.3,0,8,0.135,0.258,synthetic
Jayanagar,12.922264,77.584734,residential,2024-01-05,Friday,17,0,0,0.434,Moderate,1696,4000,43.4,0,8,0.113,0.347,synthetic
Jayanagar,12.926888,77.586912,residential,2024-01-05,Friday,18,0,0,0.49,Moderate,2096,4000,49.0,0,8,0.102,0.392,synthetic
Jayanagar,12.927141,77.585315,residential,2024-01-05,Friday,19,0,0,0.445,Moderate,1974,4000,44.5,0,8,0.111,0.356,synthetic
Jayanagar,12.923496,77.582653,residential,2024-01-05,Friday,20,0,1,0.399,Moderate,1798,4000,39.9,0,8,0.3,0.32,synthetic
Jayanagar,12.925065,77.580319,residential,2024-01-05,Friday,21,0,1,0.312,Moderate,1163,4000,31.2,0,8,0.344,0.25,synthetic
Jayanagar,12.926473,77.584143,residential,2024-01-05,Friday,22,0,1,0.157,Low,611,4000,15.7,0,8,0.422,0.125,synthetic
Jayanagar,12.927222,77.581961,residential,2024-01-05,Friday,23,0,1,0.101,Low,437,4000,10.1,0,8,0.449,0.081,synthetic
Rajajinagar,12.991205,77.552096,residential,2024-01-05,Friday,0,0,1,0.067,Low,245,3500,6.7,0,6,0.467,0.054,synthetic
Rajajinagar,12.997835,77.550746,residential,2024-01-05,Friday,1,0,1,0.03,Low,104,3500,3.0,0,6,0.485,0.024,synthetic
Rajajinagar,12.990232,77.550088,residential,2024-01-05,Friday,2,0,1,0.032,Low,127,3500,3.2,0,6,0.484,0.025,synthetic
Rajajinagar,12.992704,77.554301,residential,2024-01-05,Friday,3,0,1,0.055,Low,217,3500,5.5,0,6,0.473,0.044,synthetic
Rajajinagar,12.99125,77.551226,residential,2024-01-05,Friday,4,0,1,0.019,Low,63,3500,1.9,0,6,0.49,0.015,synthetic
Rajajinagar,12.990086,77.555507,residential,2024-01-05,Friday,5,0,1,0.133,Low,493,3500,13.3,0,6,0.433,0.107,synthetic
Rajajinagar,12.996203,77.555202,residential,2024-01-05,Friday,6,0,0,0.186,Low,611,3500,18.6,0,6,0.163,0.149,synthetic
Rajajinagar,12.994953,77.548709,residential,2024-01-05,Friday,7,0,0,0.241,Low,897,3500,24.1,0,6,0.152,0.192,synthetic
Rajajinagar,12.997067,77.554747,residential,2024-01-05,Friday,8,0,0,0.363,Moderate,1195,3500,36.3,0,6,0.127,0.29,synthetic
Rajajinagar,12.991305,77.549747,residential,2024-01-05,Friday,9,0,0,0.348,Moderate,1362,3500,34.8,0,6,0.13,0.279,synthetic
Rajajinagar,12.993504,77.550217,residential,2024-01-05,Friday,10,0,0,0.321,Moderate,1079,3500,32.1,0,6,0.136,0.257,synthetic
Rajajinagar,12.994969,77.552754,residential,2024-01-05,Friday,11,0,0,0.259,Moderate,956,3500,25.9,0,6,0.148,0.207,synthetic
Rajajinagar,12.99697,77.549511,residential,2024-01-05,Friday,12,0,0,0.293,Moderate,993,3500,29.3,0,6,0.141,0.235,synthetic
Rajajinagar,12.993022,77.551588,residential,2024-01-05,Friday,13,0,0,0.309,Moderate,932,3500,30.9,0,6,0.138,0.247,synthetic
Rajajinagar,12.9915,77.554269,residential,2024-01-05,Friday,14,0,0,0.277,Moderate,941,3500,27.7,0,6,0.145,0.222,synthetic
Rajajinagar,12.995895,77.554533,residential,2024-01-05,Friday,15,0,0,0.267,Moderate,1017,3500,26.7,0,6,0.147,0.214,synthetic
Rajajinagar,12.990813,77.550085,residential,2024-01-05,Friday,16,0,0,0.277,Moderate,993,3500,27.7,0,6,0.145,0.221,synthetic
Rajajinagar,12.997805,77.554636,residential,2024-01-05,Friday,17,0,0,0.411,Moderate,1434,3500,41.1,0,6,0.118,0.329,synthetic
Rajajinagar,12.991377,77.552871,residential,2024-01-05,Friday,18,0,0,0.452,Moderate,1545,3500,45.2,0,6,0.11,0.362,synthetic
Rajajinagar,12.992267,77.549256,residential,2024-01-05,Friday,19,0,0,0.388,Moderate,1356,3500,38.8,0,6,0.122,0.311,synthetic
Rajajinagar,12.997737,77.550201,residential,2024-01-05,Friday,20,0,1,0.305,Moderate,956,3500,30.5,0,6,0.348,0.244,synthetic
Rajajinagar,12.997219,77.552009,residential,2024-01-05,Friday,21,0,1,0.244,Low,840,3500,24.4,0,6,0.378,0.195,synthetic
Rajajinagar,12.996993,77.552796,residential,2024-01-05,Friday,22,0,1,0.195,Low,745,3500,19.5,0,6,0.403,0.156,synthetic
Rajajinagar,12.992817,77.552586,residential,2024-01-05,Friday,23,0,1,0.115,Low,375,3500,11.5,0,6,0.442,0.092,synthetic
Domlur,12.95901,77.636278,mixed,2024-01-05,Friday,0,0,1,0.077,Low,306,4500,7.7,0,7,0.461,0.062,synthetic
Domlur,12.960718,77.641582,mixed,2024-01-05,Friday,1,0,1,0.027,Low,124,4500,2.7,0,7,0.486,0.022,synthetic
Domlur,12.964113,77.640774,mixed,2024-01-05,Friday,2,0,1,0.094,Low,460,4500,9.4,0,7,0.453,0.075,synthetic
Domlur,12.957893,77.635379,mixed,2024-01-05,Friday,3,0,1,0.057,Low,256,4500,5.7,0,7,0.472,0.046,synthetic
Domlur,12.961405,77.635186,mixed,2024-01-05,Friday,4,0,1,0.067,Low,339,4500,6.7,0,7,0.466,0.054,synthetic
Domlur,12.957899,77.639789,mixed,2024-01-05,Friday,5,0,1,0.152,Low,691,4500,15.2,0,7,0.424,0.122,synthetic
Domlur,12.963277,77.639801,mixed,2024-01-05,Friday,6,0,0,0.18,Low,879,4500,18.0,0,7,0.164,0.144,synthetic
Domlur,12.956971,77.639183,mixed,2024-01-05,Friday,7,0,0,0.269,Moderate,1212,4500,26.9,0,7,0.146,0.215,synthetic
Domlur,12.960817,77.63718,mixed,2024-01-05,Friday,8,0,0,0.424,Moderate,1896,4500,42.4,0,7,0.115,0.339,synthetic
Domlur,12.959624,77.640612,mixed,2024-01-05,Friday,9,0,0,0.45,Moderate,2321,4500,45.0,0,7,0.11,0.36,synthetic
Domlur,12.957836,77.638154,mixed,2024-01-05,Friday,10,0,0,0.328,Moderate,1298,4500,32.8,0,7,0.134,0.262,synthetic
Domlur,12.957034,77.639135,mixed,2024-01-05,Friday,11,0,0,0.348,Moderate,1464,4500,34.8,0,7,0.13,0.278,synthetic
Domlur,12.958284,77.641598,mixed,2024-01-05,Friday,12,0,0,0.401,Moderate,1755,4500,40.1,0,7,0.12,0.321,synthetic
Domlur,12.960412,77.642342,mixed,2024-01-05,Friday,13,0,0,0.34,Moderate,1592,4500,34.0,0,7,0.132,0.272,synthetic
Domlur,12.95794,77.635673,mixed,2024-01-05,Friday,14,0,0,0.367,Moderate,1520,4500,36.7,0,7,0.127,0.294,synthetic
Domlur,12.962677,77.63902,mixed,2024-01-05,Friday,15,0,0,0.366,Moderate,1810,4500,36.6,0,7,0.127,0.293,synthetic
Domlur,12.961145,77.64156,mixed,2024-01-05,Friday,16,0,0,0.356,Moderate,1499,4500,35.6,0,7,0.129,0.285,synthetic
Domlur,12.958767,77.635175,mixed,2024-01-05,Friday,17,0,0,0.504,Moderate,2378,4500,50.4,0,7,0.099,0.403,synthetic
Domlur,12.960718,77.640316,mixed,2024-01-05,Friday,18,0,0,0.547,Moderate,2122,4500,54.7,0,7,0.091,0.437,synthetic
Domlur,12.960957,77.635522,mixed,2024-01-05,Friday,19,0,0,0.524,Moderate,2248,4500,52.4,0,7,0.095,0.419,synthetic
Domlur,12.961328,77.637671,mixed,2024-01-05,Friday,20,0,1,0.372,Moderate,1679,4500,37.2,0,7,0.314,0.297,synthetic
Domlur,12.959148,77.636469,mixed,2024-01-05,Friday,21,0,1,0.326,Moderate,1254,4500,32.6,0,7,0.337,0.261,synthetic
Domlur,12.959028,77.635617,mixed,2024-01-05,Friday,22,0,1,0.233,Low,1159,4500,23.3,0,7,0.383,0.187,synthetic
Domlur,12.956962,77.635623,mixed,2024-01-05,Friday,23,0,1,0.136,Low,540,4500,13.6,0,7,0.432,0.109,synthetic
Chickpet,12.964861,77.573503,market,2024-01-05,Friday,0,0,1,0.104,Low,833,7000,10.4,0,11,0.448,0.083,synthetic
Chickpet,12.970779,77.577285,market,2024-01-05,Friday,1,0,1,0.108,Low,818,7000,10.8,0,11,0.446,0.087,synthetic
Chickpet,12.965678,77.573713,market,2024-01-05,Friday,2,0,1,0.108,Low,677,7000,10.8,0,11,0.446,0.086,synthetic
Chickpet,12.96462,77.575373,market,2024-01-05,Friday,3,0,1,0.094,Low,593,7000,9.4,0,11,0.453,0.075,synthetic
Chickpet,12.967981,77.580637,market,2024-01-05,Friday,4,0,1,0.11,Low,876,7000,11.0,0,11,0.445,0.088,synthetic
Chickpet,12.967073,77.576448,market,2024-01-05,Friday,5,0,1,0.13,Low,926,7000,13.0,0,11,0.435,0.104,synthetic
Chickpet,12.965835,77.58016,market,2024-01-05,Friday,6,0,0,0.167,Low,1058,7000,16.7,0,11,0.167,0.134,synthetic
Chickpet,12.965825,77.580434,market,2024-01-05,Friday,7,0,0,0.27,Moderate,2083,7000,27.0,0,11,0.146,0.216,synthetic
Chickpet,12.965681,77.578486,market,2024-01-05,Friday,8,0,0,0.455,Moderate,3446,7000,45.5,0,11,0.109,0.364,synthetic
Chickpet,12.964245,77.580235,market,2024-01-05,Friday,9,0,0,0.701,High,4771,7000,70.1,0,11,0.06,0.561,synthetic
Chickpet,12.964387,77.576312,market,2024-01-05,Friday,10,0,0,0.804,Extreme,5147,7000,80.4,0,11,0.039,0.643,synthetic
Chickpet,12.967901,77.578877,market,2024-01-05,Friday,11,0,0,0.874,Extreme,5230,7000,87.4,0,11,0.025,0.699,synthetic
Chickpet,12.963872,77.576713,market,2024-01-05,Friday,12,0,0,0.801,Extreme,5739,7000,80.1,0,11,0.04,0.641,synthetic
Chickpet,12.969774,77.575529,market,2024-01-05,Friday,13,0,0,0.828,Extreme,5085,7000,82.8,0,11,0.034,0.662,synthetic
Chickpet,12.965599,77.577195,market,2024-01-05,Friday,14,0,0,0.848,Extreme,6565,7000,84.8,0,11,0.03,0.679,synthetic
Chickpet,12.96953,77.579642,market,2024-01-05,Friday,15,0,0,0.797,High,6010,7000,79.7,0,11,0.041,0.638,synthetic
Chickpet,12.967042,77.579687,market,2024-01-05,Friday,16,0,0,0.9,Extreme,7009,7000,90.0,0,11,0.02,0.72,synthetic
Chickpet,12.96714,77.575114,market,2024-01-05,Friday,17,0,0,0.874,Extreme,5827,7000,87.4,0,11,0.025,0.699,synthetic
Chickpet,12.965136,77.577209,market,2024-01-05,Friday,18,0,0,0.935,Extreme,5748,7000,93.5,0,11,0.013,0.748,synthetic
Chickpet,12.964811,77.580592,market,2024-01-05,Friday,19,0,0,0.841,Extreme,6478,7000,84.1,0,11,0.032,0.673,synthetic
Chickpet,12.964794,77.574407,market,2024-01-05,Friday,20,0,1,0.773,High,4913,7000,77.3,0,11,0.113,0.619,synthetic
Chickpet,12.967901,77.579959,market,2024-01-05,Friday,21,0,1,0.52,Moderate,3607,7000,52.0,0,11,0.24,0.416,synthetic
Chickpet,12.97013,77.578935,market,2024-01-05,Friday,22,0,1,0.317,Moderate,2175,7000,31.7,0,11,0.341,0.254,synthetic
Chickpet,12.96557,77.576118,market,2024-01-05,Friday,23,0,1,0.209,Low,1582,7000,20.9,0,11,0.395,0.167,synthetic
BTM Layout,12.913949,77.610074,residential,2024-01-05,Friday,0,0,1,0.106,Low,461,5000,10.6,0,9,0.447,0.085,synthetic
BTM Layout,12.916697,77.606608,residential,2024-01-05,Friday,1,0,1,0.108,Low,541,5000,10.8,0,9,0.446,0.086,synthetic
BTM Layout,12.917742,77.610492,residential,2024-01-05,Friday,2,0,1,0.077,Low,394,5000,7.7,0,9,0.461,0.062,synthetic
BTM Layout,12.915376,77.604171,residential,2024-01-05,Friday,3,0,1,0.029,Low,154,5000,2.9,0,9,0.485,0.023,synthetic
BTM Layout,12.919815,77.606073,residential,2024-01-05,Friday,4,0,1,0.09,Low,384,5000,9.0,0,9,0.455,0.072,synthetic
BTM Layout,12.917997,77.611664,residential,2024-01-05,Friday,5,0,1,0.119,Low,678,5000,11.9,0,9,0.441,0.095,synthetic
BTM Layout,12.916892,77.609094,residential,2024-01-05,Friday,6,0,0,0.154,Low,761,5000,15.4,0,9,0.169,0.123,synthetic
BTM Layout,12.915844,77.611173,residential,2024-01-05,Friday,7,0,0,0.22,Low,1078,5000,22.0,0,9,0.156,0.176,synthetic
BTM Layout,12.91924,77.606837,residential,2024-01-05,Friday,8,0,0,0.46,Moderate,2046,5000,46.0,0,9,0.108,0.368,synthetic
BTM Layout,12.919063,77.611381,residential,2024-01-05,Friday,9,0,0,0.455,Moderate,2541,5000,45.5,0,9,0.109,0.364,synthetic
BTM Layout,12.9159,77.610815,residential,2024-01-05,Friday,10,0,0,0.36,Moderate,1869,5000,36.0,0,9,0.128,0.288,synthetic
BTM Layout,12.915777,77.607825,residential,2024-01-05,Friday,11,0,0,0.325,Moderate,1658,5000,32.5,0,9,0.135,0.26,synthetic
BTM Layout,12.918631,77.60907,residential,2024-01-05,Friday,12,0,0,0.384,Moderate,1657,5000,38.4,0,9,0.123,0.307,synthetic
BTM Layout,12.916541,77.608511,residential,2024-01-05,Friday,13,0,0,0.369,Moderate,1890,5000,36.9,0,9,0.126,0.295,synthetic
BTM Layout,12.912559,77.607003,residential,2024-01-05,Friday,14,0,0,0.308,Moderate,1606,5000,30.8,0,9,0.138,0.247,synthetic
BTM Layout,12.918571,77.605126,residential,2024-01-05,Friday,15,0,0,0.361,Moderate,1628,5000,36.1,0,9,0.128,0.289,synthetic
BTM Layout,12.915414,77.608946,residential,2024-01-05,Friday,16,0,0,0.405,Moderate,2055,5000,40.5,0,9,0.119,0.324,synthetic
BTM Layout,12.917362,77.606167,residential,2024-01-05,Friday,17,0,0,0.494,Moderate,2499,5000,49.4,0,9,0.101,0.396,synthetic
BTM Layout,12.914997,77.609276,residential,2024-01-05,Friday,18,0,0,0.582,High,2850,5000,58.2,0,9,0.084,0.465,synthetic
BTM Layout,12.913007,77.61037,residential,2024-01-05,Friday,19,0,0,0.481,Moderate,2335,5000,48.1,0,9,0.104,0.385,synthetic
BTM Layout,12.913142,77.611739,residential,2024-01-05,Friday,20,0,1,0.41,Moderate,2255,5000,41.0,0,9,0.295,0.328,synthetic
BTM Layout,12.913268,77.609204,residential,2024-01-05,Friday,21,0,1,0.323,Moderate,1657,5000,32.3,0,9,0.339,0.258,synthetic
BTM Layout,12.918998,77.60467,residential,2024-01-05,Friday,22,0,1,0.228,Low,1067,5000,22.8,0,9,0.386,0.182,synthetic
BTM Layout,12.91759,77.607982,residential,2024-01-05,Friday,23,0,1,0.132,Low,751,5000,13.2,0,9,0.434,0.106,synthetic
KR Puram,12.997257,77.694706,transit,2024-01-05,Friday,0,0,1,0.085,Low,456,5500,8.5,1,10,0.458,0.068,synthetic
KR Puram,12.996248,77.693981,transit,2024-01-05,Friday,1,0,1,0.077,Low,384,5500,7.7,1,10,0.462,0.061,synthetic
KR Puram,12.999044,77.699903,transit,2024-01-05,Friday,2,0,1,0.041,Low,205,5500,4.1,1,10,0.48,0.032,synthetic
KR Puram,13.001473,77.699879,transit,2024-01-05,Friday,3,0,1,0.069,Low,398,5500,6.9,1,10,0.465,0.055,synthetic
KR Puram,12.994301,77.698832,transit,2024-01-05,Friday,4,0,1,0.063,Low,345,5500,6.3,1,10,0.468,0.051,synthetic
KR Puram,12.998547,77.698391,transit,2024-01-05,Friday,5,0,1,0.11,Low,582,5500,11.0,1,10,0.445,0.088,synthetic
KR Puram,12.99794,77.693424,transit,2024-01-05,Friday,6,0,0,0.215,Low,1038,5500,21.5,1,10,0.157,0.172,synthetic
KR Puram,12.999875,77.693708,transit,2024-01-05,Friday,7,0,0,0.349,Moderate,1776,5500,34.9,1,10,0.13,0.28,synthetic
KR Puram,13.00038,77.69714,transit,2024-01-05,Friday,8,0,0,0.576,High,3422,5500,57.6,1,10,0.085,0.461,synthetic
KR Puram,13.000009,77.694175,transit,2024-01-05,Friday,9,0,0,0.578,High,3575,5500,57.8,1,10,0.084,0.462,synthetic
KR Puram,12.996139,77.698179,transit,2024-01-05,Friday,10,0,0,0.503,Moderate,2388,5500,50.3,1,10,0.099,0.403,synthetic
KR Puram,12.996549,77.696064,transit,2024-01-05,Friday,11,0,0,0.366,Moderate,2206,5500,36.6,1,10,0.127,0.293,synthetic
KR Puram,12.999963,77.692582,transit,2024-01-05,Friday,12,0,0,0.476,Moderate,2643,5500,47.6,1,10,0.105,0.381,synthetic
KR Puram,12.996984,77.694465,transit,2024-01-05,Friday,13,0,0,0.44,Moderate,2734,5500,44.0,1,10,0.112,0.352,synthetic
KR Puram,13.000054,77.695026,transit,2024-01-05,Friday,14,0,0,0.391,Moderate,2074,5500,39.1,1,10,0.122,0.313,synthetic
KR Puram,13.000556,77.693319,transit,2024-01-05,Friday,15,0,0,0.433,Moderate,2201,5500,43.3,1,10,0.113,0.347,synthetic
KR Puram,13.001001,77.694464,transit,2024-01-05,Friday,16,0,0,0.453,Moderate,2371,5500,45.3,1,10,0.109,0.363,synthetic
KR Puram,12.995062,77.697588,transit,2024-01-05,Friday,17,0,0,0.67,High,3393,5500,67.0,1,10,0.066,0.536,synthetic
KR Puram,12.994574,77.693292,transit,2024-01-05,Friday,18,0,0,0.675,High,3649,5500,67.5,1,10,0.065,0.54,synthetic
KR Puram,12.996548,77.695111,transit,2024-01-05,Friday,19,0,0,0.623,High,3398,5500,62.3,1,10,0.075,0.499,synthetic
KR Puram,12.994129,77.693334,transit,2024-01-05,Friday,20,0,1,0.583,High,2968,5500,58.3,1,10,0.209,0.466,synthetic
KR Puram,12.996778,77.699129,transit,2024-01-05,Friday,21,0,1,0.408,Moderate,2512,5500,40.8,1,10,0.296,0.326,synthetic
KR Puram,12.99925,77.694639,transit,2024-01-05,Friday,22,0,1,0.213,Low,1128,5500,21.3,1,10,0.394,0.17,synthetic
KR Puram,12.99982,77.693436,transit,2024-01-05,Friday,23,0,1,0.129,Low,626,5500,12.9,1,10,0.436,0.103,synthetic
Nagawara,13.03127,77.619612,residential,2024-01-05,Friday,0,0,1,0.044,Low,159,3500,4.4,0,5,0.478,0.035,synthetic
Nagawara,13.032266,77.615985,residential,2024-01-05,Friday,1,0,1,0.017,Low,52,3500,1.7,0,5,0.492,0.013,synthetic
Nagawara,13.03661,77.619635,residential,2024-01-05,Friday,2,0,1,0.057,Low,208,3500,5.7,0,5,0.472,0.046,synthetic
Nagawara,13.037659,77.619928,residential,2024-01-05,Friday,3,0,1,0.028,Low,105,3500,2.8,0,5,0.486,0.022,synthetic
Nagawara,13.036165,77.621045,residential,2024-01-05,Friday,4,0,1,0.037,Low,139,3500,3.7,0,5,0.482,0.029,synthetic
Nagawara,13.035528,77.614858,residential,2024-01-05,Friday,5,0,1,0.125,Low,397,3500,12.5,0,5,0.438,0.1,synthetic
Nagawara,13.036375,77.61611,residential,2024-01-05,Friday,6,0,0,0.149,Low,499,3500,14.9,0,5,0.17,0.119,synthetic
Nagawara,13.032257,77.619179,residential,2024-01-05,Friday,7,0,0,0.179,Low,575,3500,17.9,0,5,0.164,0.143,synthetic
Nagawara,13.036474,77.614931,residential,2024-01-05,Friday,8,0,0,0.365,Moderate,1410,3500,36.5,0,5,0.127,0.292,synthetic
Nagawara,13.034701,77.6153,residential,2024-01-05,Friday,9,0,0,0.336,Moderate,1111,3500,33.6,0,5,0.133,0.269,synthetic
Nagawara,13.032854,77.617665,residential,2024-01-05,Friday,10,0,0,0.32,Moderate,1103,3500,32.0,0,5,0.136,0.256,synthetic
Nagawara,13.031064,77.619842,residential,2024-01-05,Friday,11,0,0,0.291,Moderate,977,3500,29.1,0,5,0.142,0.233,synthetic
Nagawara,13.031831,77.619047,residential,2024-01-05,Friday,12,0,0,0.279,Moderate,918,3500,27.9,0,5,0.144,0.223,synthetic
