area,latitude,longitude,date,hour,month,weather_condition,rainfall_mm_hr,visibility_km,visibility_score,wind_speed_kmh,humidity_pct,temperature_c,flood_risk,waterlogging_risk,road_slipperiness,weather_severity,is_night,data_source
JP Nagar,12.899501,77.593087,2024-01-09,15,1,Cloudy,0.0,9.0,0.75,15.5,58.6,26.0,0.0,0.005,0.099,0.103,0,synthetic
JP Nagar,12.893181,77.599197,2024-01-09,16,1,Clear,0.0,12.0,1.0,12.6,41.6,23.6,0.0,0.008,0.047,0.027,0,synthetic
JP Nagar,12.895556,77.592866,2024-01-09,17,1,Cloudy,0.0,9.3,0.775,10.6,64.8,20.7,0.014,0.0,0.094,0.065,0,synthetic
JP Nagar,12.898078,77.596698,2024-01-09,18,1,Cloudy,0.0,8.2,0.683,11.8,65.7,20.9,0.013,0.015,0.106,0.119,0,synthetic
JP Nagar,12.900737,77.600853,2024-01-09,19,1,Cloudy,0.0,8.5,0.708,10.2,64.0,20.6,0.032,0.032,0.054,0.141,0,synthetic
JP Nagar,12.896056,77.593445,2024-01-09,20,1,Clear,0.0,12.0,1.0,8.9,43.1,20.9,0.0,0.0,0.037,0.073,1,synthetic
JP Nagar,12.899751,77.59649,2024-01-09,21,1,Cloudy,0.0,8.5,0.708,12.5,57.6,21.6,0.02,0.013,0.087,0.067,1,synthetic
JP Nagar,12.898061,77.599408,2024-01-09,22,1,Clear,0.0,12.7,1.0,6.3,48.7,19.3,0.008,0.005,0.063,0.083,1,synthetic
JP Nagar,12.895547,77.59396,2024-01-09,23,1,Cloudy,0.0,9.5,0.792,12.1,65.8,19.3,0.0,0.01,0.061,0.055,1,synthetic
Koramangala,12.934211,77.62427,2024-01-10,0,1,Clear,0.0,11.5,0.958,9.6,48.4,18.7,0.0,0.0,0.037,0.015,1,synthetic
Koramangala,12.935379,77.6252,2024-01-10,1,1,Clear,0.0,11.8,0.983,6.0,42.5,18.9,0.001,0.013,0.028,0.012,1,synthetic
Koramangala,12.933176,77.62761,2024-01-10,2,1,Cloudy,0.0,8.8,0.733,15.2,62.9,16.5,0.0,0.0,0.109,0.068,1,synthetic
Koramangala,12.9401,77.625101,2024-01-10,3,1,Clear,0.0,12.0,1.0,12.2,41.7,18.6,0.056,0.045,0.056,0.099,1,synthetic
Koramangala,12.93028,77.627925,2024-01-10,4,1,Cloudy,0.0,8.4,0.7,7.7,61.4,19.3,0.008,0.0,0.06,0.121,1,synthetic
Koramangala,12.936307,77.621844,2024-01-10,5,1,Cloudy,0.0,9.1,0.758,7.4,62.6,21.1,0.051,0.046,0.066,0.114,1,synthetic
Koramangala,12.932453,77.627193,2024-01-10,6,1,Clear,0.0,11.7,0.975,12.9,41.3,16.3,0.035,0.037,0.066,0.017,0,synthetic
Koramangala,12.933075,77.62216,2024-01-10,7,1,Strong Wind,1.06,8.1,0.675,63.8,64.5,17.7,0.0,0.018,0.142,0.498,0,synthetic
Koramangala,12.937642,77.621576,2024-01-10,8,1,Cloudy,0.0,8.3,0.692,14.8,60.3,16.2,0.006,0.0,0.094,0.062,0,synthetic
Koramangala,12.930943,77.62829,2024-01-10,9,1,Clear,0.0,11.7,0.975,12.5,44.8,20.3,0.011,0.0,0.047,0.066,0,synthetic
Koramangala,12.939573,77.627508,2024-01-10,10,1,Cloudy,0.0,9.5,0.792,7.8,57.7,20.7,0.0,0.01,0.087,0.081,0,synthetic
Koramangala,12.932057,77.623929,2024-01-10,11,1,Cloudy,0.0,9.6,0.8,16.2,63.8,19.7,0.024,0.0,0.07,0.096,0,synthetic
Koramangala,12.93545,77.622345,2024-01-10,12,1,Clear,0.0,11.3,0.942,5.3,44.2,20.5,0.0,0.003,0.034,0.066,0,synthetic
Koramangala,12.932809,77.619845,2024-01-10,13,1,Cloudy,0.0,9.5,0.792,11.6,60.5,19.8,0.031,0.006,0.093,0.089,0,synthetic
Koramangala,12.935797,77.621785,2024-01-10,14,1,Cloudy,0.0,8.6,0.717,14.8,57.7,24.4,0.0,0.0,0.092,0.1,0,synthetic
Koramangala,12.931194,77.622895,2024-01-10,15,1,Cloudy,0.0,9.4,0.783,16.1,59.1,24.5,0.0,0.0,0.098,0.127,0,synthetic
Koramangala,12.935722,77.621954,2024-01-10,16,1,Cloudy,0.0,8.3,0.692,13.7,62.6,26.0,0.023,0.019,0.067,0.113,0,synthetic
Koramangala,12.934985,77.621378,2024-01-10,17,1,Fog,0.21,0.8,0.067,8.4,89.3,21.2,0.064,0.05,0.178,0.58,0,synthetic
Koramangala,12.936856,77.627485,2024-01-10,18,1,Cloudy,0.0,9.7,0.808,12.5,60.3,20.4,0.051,0.02,0.066,0.143,0,synthetic
Koramangala,12.934356,77.620538,2024-01-10,19,1,Clear,0.0,12.1,1.0,5.6,49.4,20.7,0.052,0.015,0.08,0.055,0,synthetic
Koramangala,12.938069,77.622411,2024-01-10,20,1,Cloudy,0.0,8.7,0.725,14.5,63.6,20.2,0.054,0.021,0.058,0.074,1,synthetic
Koramangala,12.931376,77.622988,2024-01-10,21,1,Clear,0.0,12.7,1.0,8.0,40.9,21.4,0.017,0.026,0.048,0.046,1,synthetic
Koramangala,12.934059,77.625524,2024-01-10,22,1,Strong Wind,1.3,7.3,0.608,66.6,64.7,19.0,0.025,0.013,0.097,0.455,1,synthetic
Koramangala,12.940162,77.628226,2024-01-10,23,1,Fog,0.24,0.5,0.042,2.8,85.6,18.5,0.0,0.01,0.142,0.54,1,synthetic
Silk Board,12.914761,77.608616,2024-01-10,0,1,Clear,0.0,12.8,1.0,9.5,49.2,18.2,0.015,0.026,0.035,0.002,1,synthetic
Silk Board,12.912234,77.605715,2024-01-10,1,1,Fog,0.18,0.2,0.017,9.6,94.3,19.1,0.0,0.02,0.168,0.511,1,synthetic
Silk Board,12.916852,77.611193,2024-01-10,2,1,Cloudy,0.0,9.2,0.767,16.0,60.4,17.1,0.069,0.066,0.077,0.127,1,synthetic
Silk Board,12.917905,77.611211,2024-01-10,3,1,Fog,0.21,0.8,0.067,9.3,95.0,17.1,0.008,0.032,0.139,0.51,1,synthetic
Silk Board,12.919189,77.613251,2024-01-10,4,1,Clear,0.0,11.3,0.942,3.4,47.6,17.5,0.0,0.0,0.066,0.082,1,synthetic
Silk Board,12.921047,77.607619,2024-01-10,5,1,Clear,0.0,11.3,0.942,8.9,49.7,22.0,0.058,0.028,0.076,0.044,1,synthetic
Silk Board,12.913554,77.6133,2024-01-10,6,1,Clear,0.0,11.7,0.975,12.3,41.0,17.9,0.0,0.0,0.053,0.078,0,synthetic
Silk Board,12.920636,77.607729,2024-01-10,7,1,Clear,0.0,12.6,1.0,9.5,40.4,17.1,0.0,0.021,0.03,0.08,0,synthetic
Silk Board,12.916706,77.607017,2024-01-10,8,1,Clear,0.0,11.8,0.983,12.0,44.9,17.0,0.048,0.061,0.067,0.019,0,synthetic
Silk Board,12.913159,77.607882,2024-01-10,9,1,Clear,0.0,12.0,1.0,6.3,45.4,20.5,0.056,0.039,0.025,0.099,0,synthetic
Silk Board,12.915413,77.613889,2024-01-10,10,1,Clear,0.0,12.5,1.0,11.3,41.4,21.6,0.061,0.054,0.021,0.087,0,synthetic
Silk Board,12.915379,77.607789,2024-01-10,11,1,Clear,0.0,11.3,0.942,5.8,42.6,21.0,0.025,0.032,0.027,0.046,0,synthetic
Silk Board,12.919899,77.610081,2024-01-10,12,1,Cloudy,0.0,8.6,0.717,13.1,59.4,19.7,0.017,0.008,0.056,0.149,0,synthetic
Silk Board,12.916382,77.613478,2024-01-10,13,1,Clear,0.0,11.7,0.975,4.3,47.2,21.8,0.052,0.045,0.029,0.044,0,synthetic
Silk Board,12.913325,77.605861,2024-01-10,14,1,Clear,0.0,12.5,1.0,3.4,46.0,26.2,0.0,0.003,0.028,0.015,0,synthetic
Silk Board,12.913339,77.613647,2024-01-10,15,1,Clear,0.0,11.2,0.933,3.1,44.7,25.0,0.008,0.02,0.042,0.086,0,synthetic
Silk Board,12.913642,77.608668,2024-01-10,16,1,Clear,0.0,11.9,0.992,4.0,45.5,24.3,0.032,0.022,0.051,0.061,0,synthetic
Silk Board,12.919422,77.615043,2024-01-10,17,1,Cloudy,0.0,8.5,0.708,13.0,62.8,20.5,0.0,0.02,0.088,0.081,0,synthetic
Silk Board,12.918847,77.613096,2024-01-10,18,1,Cloudy,0.0,8.2,0.683,12.8,58.3,20.0,0.04,0.048,0.086,0.136,0,synthetic
Silk Board,12.921309,77.611018,2024-01-10,19,1,Cloudy,0.0,9.0,0.75,7.3,57.6,20.0,0.059,0.054,0.073,0.127,0,synthetic
Silk Board,12.921498,77.612461,2024-01-10,20,1,Clear,0.0,12.7,1.0,6.8,49.5,20.5,0.028,0.04,0.063,0.027,1,synthetic
Silk Board,12.915854,77.609969,2024-01-10,21,1,Cloudy,0.0,8.5,0.708,13.8,63.2,21.1,0.027,0.0,0.074,0.139,1,synthetic
Silk Board,12.915638,77.609506,2024-01-10,22,1,Clear,0.0,12.4,1.0,12.8,40.2,19.3,0.0,0.0,0.022,0.026,1,synthetic
Silk Board,12.916936,77.60648,2024-01-10,23,1,Clear,0.0,11.6,0.967,6.4,48.2,16.6,0.016,0.043,0.052,0.052,1,synthetic
BTM Layout,12.920881,77.612949,2024-01-10,0,1,Clear,0.0,11.5,0.958,6.3,49.2,19.1,0.026,0.042,0.025,0.098,1,synthetic
BTM Layout,12.920898,77.607056,2024-01-10,1,1,Clear,0.0,12.3,1.0,3.7,46.8,17.9,0.063,0.058,0.03,0.011,1,synthetic
BTM Layout,12.918349,77.60799,2024-01-10,2,1,Clear,0.0,11.3,0.942,7.9,41.6,18.9,0.032,0.016,0.032,0.099,1,synthetic
BTM Layout,12.918138,77.612373,2024-01-10,3,1,Fog,0.17,0.2,0.017,0.9,87.6,17.9,0.044,0.057,0.129,0.513,1,synthetic
BTM Layout,12.917016,77.609711,2024-01-10,4,1,Clear,0.0,11.3,0.942,11.0,49.3,18.2,0.033,0.027,0.04,0.031,1,synthetic
BTM Layout,12.912626,77.609753,2024-01-10,5,1,Clear,0.0,12.2,1.0,7.7,40.0,21.5,0.0,0.019,0.04,0.012,1,synthetic
BTM Layout,12.916025,77.608954,2024-01-10,6,1,Clear,0.0,12.1,1.0,4.7,44.0,17.6,0.059,0.035,0.06,0.027,0,synthetic
BTM Layout,12.914352,77.607196,2024-01-10,7,1,Clear,0.0,12.6,1.0,9.8,42.5,15.6,0.0,0.0,0.044,0.038,0,synthetic
BTM Layout,12.917082,77.604716,2024-01-10,8,1,Clear,0.0,11.3,0.942,7.0,41.4,15.7,0.034,0.046,0.067,0.1,0,synthetic
BTM Layout,12.91621,77.607693,2024-01-10,9,1,Cloudy,0.0,8.8,0.733,11.9,58.2,20.0,0.066,0.061,0.11,0.112,0,synthetic
BTM Layout,12.913681,77.604164,2024-01-10,10,1,Clear,0.0,12.6,1.0,3.6,41.5,21.3,0.0,0.016,0.069,0.029,0,synthetic
BTM Layout,12.915077,77.606301,2024-01-10,11,1,Clear,0.0,11.7,0.975,11.4,49.3,20.8,0.0,0.004,0.061,0.047,0,synthetic
BTM Layout,12.912355,77.612625,2024-01-10,12,1,Strong Wind,0.84,8.1,0.675,60.7,56.8,20.6,0.018,0.008,0.114,0.481,0,synthetic
BTM Layout,12.916924,77.606039,2024-01-10,13,1,Cloudy,0.0,9.4,0.783,7.4,60.1,20.2,0.042,0.057,0.053,0.098,0,synthetic
BTM Layout,12.912159,77.607565,2024-01-10,14,1,Clear,0.0,12.3,1.0,4.0,42.5,26.0,0.027,0.015,0.047,0.035,0,synthetic
BTM Layout,12.917874,77.608658,2024-01-10,15,1,Cloudy,0.0,9.1,0.758,16.1,61.8,24.7,0.0,0.022,0.101,0.148,0,synthetic
BTM Layout,12.919412,77.610246,2024-01-10,16,1,Clear,0.0,12.5,1.0,3.1,44.8,24.7,0.064,0.058,0.053,0.074,0,synthetic
BTM Layout,12.919379,77.603475,2024-01-10,17,1,Clear,0.0,11.7,0.975,5.7,49.9,21.2,0.053,0.072,0.022,0.024,0,synthetic
BTM Layout,12.913381,77.608512,2024-01-10,18,1,Heavy Rain,16.12,2.5,0.208,28.5,94.3,20.7,0.06,0.07,0.774,0.655,0,synthetic
BTM Layout,12.911973,77.603037,2024-01-10,19,1,Cloudy,0.0,8.4,0.7,7.0,63.8,20.5,0.0,0.0,0.051,0.064,0,synthetic
BTM Layout,12.918209,77.605807,2024-01-10,20,1,Clear,0.0,11.9,0.992,11.8,46.5,20.1,0.052,0.07,0.062,0.068,1,synthetic
BTM Layout,12.914403,77.609784,2024-01-10,21,1,Clear,0.0,12.0,1.0,12.5,41.4,21.5,0.017,0.033,0.04,0.08,1,synthetic
BTM Layout,12.917061,77.6124,2024-01-10,22,1,Clear,0.0,11.4,0.95,9.5,43.4,18.3,0.049,0.055,0.029,0.024,1,synthetic
BTM Layout,12.912142,77.604822,2024-01-10,23,1,Clear,0.0,11.7,0.975,11.5,42.1,18.3,0.008,0.017,0.021,0.098,1,synthetic
Majestic,12.978651,77.570406,2024-01-10,0,1,Clear,0.0,11.3,0.942,5.9,44.4,16.8,0.0,0.0,0.075,0.022,1,synthetic
Majestic,12.974619,77.568581,2024-01-10,1,1,Clear,0.0,11.9,0.992,12.7,44.0,17.2,0.0,0.0,0.035,0.014,1,synthetic
Majestic,12.973641,77.573678,2024-01-10,2,1,Clear,0.0,12.6,1.0,10.3,46.6,17.2,0.0,0.0,0.066,0.004,1,synthetic
Majestic,12.979392,77.570862,2024-01-10,3,1,Clear,0.0,11.5,0.958,6.6,48.1,16.6,0.0,0.0,0.053,0.003,1,synthetic
Majestic,12.975298,77.572224,2024-01-10,4,1,Fog,0.25,1.1,0.092,8.1,93.2,18.2,0.053,0.029,0.175,0.525,1,synthetic
Majestic,12.980138,77.566516,2024-01-10,5,1,Clear,0.0,11.8,0.983,11.7,42.3,22.3,0.056,0.032,0.04,0.013,1,synthetic
Majestic,12.971829,77.570547,2024-01-10,6,1,Clear,0.0,11.2,0.933,12.2,49.9,17.2,0.049,0.063,0.021,0.027,0,synthetic
Majestic,12.975108,77.566605,2024-01-10,7,1,Strong Wind,0.9,7.3,0.608,63.8,63.2,17.6,0.055,0.056,0.109,0.478,0,synthetic
Majestic,12.980528,77.567981,2024-01-10,8,1,Cloudy,0.0,9.1,0.758,16.1,58.5,18.2,0.0,0.028,0.095,0.128,0,synthetic
Majestic,12.976563,77.568759,2024-01-10,9,1,Clear,0.0,12.7,1.0,12.4,48.0,22.2,0.027,0.041,0.055,0.034,0,synthetic
Majestic,12.977034,77.569118,2024-01-10,10,1,Clear,0.0,11.8,0.983,10.4,47.1,21.9,0.015,0.0,0.071,0.1,0,synthetic
Majestic,12.981271,77.568288,2024-01-10,11,1,Strong Wind,1.1,8.3,0.692,67.0,57.0,20.8,0.0,0.012,0.146,0.454,0,synthetic
Majestic,12.979545,77.570224,2024-01-10,12,1,Clear,0.0,12.1,1.0,12.4,45.5,22.2,0.0,0.021,0.056,0.047,0,synthetic
Majestic,12.975039,77.574667,2024-01-10,13,1,Fog,0.23,0.4,0.033,2.1,91.7,19.6,0.029,0.051,0.17,0.571,0,synthetic
Majestic,12.976333,77.571077,2024-01-10,14,1,Clear,0.0,11.6,0.967,8.5,42.4,25.2,0.0,0.027,0.048,0.006,0,synthetic
Majestic,12.976354,77.575754,2024-01-10,15,1,Cloudy,0.0,9.0,0.75,10.7,61.0,25.8,0.017,0.019,0.055,0.108,0,synthetic
Majestic,12.972017,77.573439,2024-01-10,16,1,Clear,0.0,12.0,1.0,3.0,47.0,25.4,0.046,0.028,0.052,0.041,0,synthetic
Majestic,12.980826,77.576158,2024-01-10,17,1,Clear,0.0,12.6,1.0,4.4,49.8,19.7,0.0,0.0,0.032,0.072,0,synthetic
Majestic,12.972067,77.575209,2024-01-10,18,1,Clear,0.0,11.3,0.942,7.4,45.4,22.4,0.0,0.012,0.06,0.017,0,synthetic
Majestic,12.975532,77.571381,2024-01-10,19,1,Clear,0.0,12.8,1.0,3.3,44.9,20.5,0.0,0.009,0.049,0.068,0,synthetic
Majestic,12.979391,77.570054,2024-01-10,20,1,Cloudy,0.0,8.8,0.733,7.5,60.3,21.5,0.011,0.0,0.085,0.097,1,synthetic
Majestic,12.974204,77.571752,2024-01-10,21,1,Cloudy,0.0,9.7,0.808,10.2,58.4,21.6,0.0,0.0,0.066,0.08,1,synthetic
Majestic,12.974766,77.574926,2024-01-10,22,1,Clear,0.0,12.4,1.0,6.5,41.9,16.9,0.027,0.027,0.058,0.1,1,synthetic
Majestic,12.974162,77.568202,2024-01-10,23,1,Fog,0.17,1.1,0.092,1.9,86.9,16.7,0.033,0.012,0.149,0.531,1,synthetic
MG Road,12.976628,77.609074,2024-01-10,0,1,Clear,0.0,11.3,0.942,9.5,42.1,17.1,0.0,0.012,0.02,0.027,1,synthetic
MG Road,12.976714,77.607119,2024-01-10,1,1,Cloudy,0.0,9.7,0.808,15.3,66.7,18.8,0.0,0.01,0.057,0.137,1,synthetic
MG Road,12.974772,77.603135,2024-01-10,2,1,Clear,0.0,11.9,0.992,5.8,47.1,16.5,0.0,0.0,0.034,0.02,1,synthetic
MG Road,12.974625,77.607889,2024-01-10,3,1,Cloudy,0.0,9.3,0.775,10.8,66.5,17.2,0.0,0.0,0.096,0.079,1,synthetic
MG Road,12.979167,77.601601,2024-01-10,4,1,Clear,0.0,12.2,1.0,11.8,49.6,19.4,0.0,0.014,0.03,0.026,1,synthetic
MG Road,12.975122,77.605785,2024-01-10,5,1,Strong Wind,1.11,7.3,0.608,67.5,55.5,19.7,0.057,0.062,0.131,0.456,1,synthetic
MG Road,12.976941,77.607762,2024-01-10,6,1,Clear,0.0,12.7,1.0,6.4,41.2,18.1,0.001,0.0,0.028,0.032,0,synthetic
MG Road,12.972309,77.604769,2024-01-10,7,1,Clear,0.0,12.7,1.0,9.8,41.8,15.7,0.019,0.033,0.051,0.081,0,synthetic
MG Road,12.979363,77.608927,2024-01-10,8,1,Clear,0.0,12.6,1.0,6.6,44.4,18.4,0.0,0.0,0.068,0.092,0,synthetic
MG Road,12.970458,77.607796,2024-01-10,9,1,Clear,0.0,11.8,0.983,12.7,43.3,21.2,0.0,0.018,0.049,0.084,0,synthetic
MG Road,12.971776,77.601555,2024-01-10,10,1,Clear,0.0,11.4,0.95,11.8,45.8,19.6,0.0,0.008,0.068,0.079,0,synthetic
MG Road,12.975354,77.60756,2024-01-10,11,1,Clear,0.0,11.9,0.992,10.3,49.2,22.0,0.002,0.0,0.075,0.064,0,synthetic
MG Road,12.977907,77.604065,2024-01-10,12,1,Fog,0.23,0.8,0.067,8.9,87.0,20.6,0.0,0.003,0.136,0.554,0,synthetic
MG Road,12.971219,77.609454,2024-01-10,13,1,Clear,0.0,12.5,1.0,8.3,41.0,20.9,0.036,0.03,0.022,0.005,0,synthetic
MG Road,12.973811,77.608359,2024-01-10,14,1,Clear,0.0,11.4,0.95,6.1,46.6,23.8,0.0,0.0,0.037,0.002,0,synthetic
MG Road,12.9777,77.603259,2024-01-10,15,1,Cloudy,0.0,8.2,0.683,7.4,62.4,25.6,0.008,0.0,0.109,0.075,0,synthetic
MG Road,12.970094,77.606789,2024-01-10,16,1,Clear,0.0,11.6,0.967,3.7,41.1,25.0,0.043,0.033,0.027,0.066,0,synthetic
MG Road,12.970491,77.608037,2024-01-10,17,1,Clear,0.0,12.4,1.0,9.2,42.1,19.8,0.025,0.002,0.022,0.069,0,synthetic
MG Road,12.978971,77.60854,2024-01-10,18,1,Clear,0.0,11.5,0.958,7.5,47.5,21.6,0.0,0.001,0.06,0.039,0,synthetic
MG Road,12.970023,77.606173,2024-01-10,19,1,Cloudy,0.0,8.9,0.742,15.2,66.1,19.7,0.002,0.0,0.076,0.055,0,synthetic
MG Road,12.976939,77.606898,2024-01-10,20,1,Cloudy,0.0,8.9,0.742,8.0,63.1,21.4,0.036,0.017,0.052,0.103,1,synthetic
MG Road,12.975127,77.604484,2024-01-10,21,1,Strong Wind,0.93,8.3,0.692,60.2,56.4,20.9,0.0,0.0,0.139,0.451,1,synthetic
MG Road,12.978366,77.606269,2024-01-10,22,1,Cloudy,0.0,8.3,0.692,10.8,64.0,17.7,0.002,0.02,0.074,0.092,1,synthetic
MG Road,12.978089,77.605303,2024-01-10,23,1,Clear,0.0,11.6,0.967,10.9,40.6,17.7,0.0,0.0,0.03,0.067,1,synthetic
Indiranagar,12.971518,77.643114,2024-01-10,0,1,Clear,0.0,11.3,0.942,5.2,48.5,19.5,0.0,0.0,0.042,0.075,1,synthetic
Indiranagar,12.969365,77.640777,2024-01-10,1,1,Fog,0.21,0.4,0.033,1.5,87.0,17.4,0.0,0.003,0.137,0.512,1,synthetic
Indiranagar,12.974842,77.636722,2024-01-10,2,1,Clear,0.0,11.9,0.992,12.7,40.3,16.6,0.0,0.027,0.051,0.084,1,synthetic
Indiranagar,12.968988,77.641699,2024-01-10,3,1,Fog,0.24,1.2,0.1,7.5,89.7,18.9,0.022,0.03,0.174,0.536,1,synthetic
Indiranagar,12.967669,77.636289,2024-01-10,4,1,Clear,0.0,11.8,0.983,10.7,42.9,16.9,0.0,0.0,0.031,0.091,1,synthetic
Indiranagar,12.975944,77.645005,2024-01-10,5,1,Strong Wind,0.96,7.4,0.617,65.0,64.0,21.0,0.0,0.011,0.127,0.452,1,synthetic
Indiranagar,12.96956,77.643403,2024-01-10,6,1,Cloudy,0.0,9.8,0.817,16.8,60.7,16.1,0.0,0.0,0.076,0.126,0,synthetic
Indiranagar,12.967867,77.643233,2024-01-10,7,1,Clear,0.0,12.7,1.0,5.8,44.6,16.4,0.0,0.0,0.05,0.006,0,synthetic
Indiranagar,12.974055,77.645808,2024-01-10,8,1,Clear,0.0,11.5,0.958,6.9,41.8,16.6,0.018,0.0,0.058,0.019,0,synthetic
Indiranagar,12.975538,77.636598,2024-01-10,9,1,Cloudy,0.0,9.4,0.783,13.8,64.7,21.0,0.0,0.027,0.074,0.102,0,synthetic
Indiranagar,12.966979,77.646012,2024-01-10,10,1,Clear,0.0,11.9,0.992,6.3,40.0,20.3,0.0,0.003,0.022,0.071,0,synthetic
Indiranagar,12.976002,77.644267,2024-01-10,11,1,Cloudy,0.0,9.0,0.75,16.4,58.3,19.9,0.054,0.03,0.105,0.141,0,synthetic
Indiranagar,12.970174,77.644803,2024-01-10,12,1,Cloudy,0.0,9.5,0.792,14.8,65.6,20.1,0.003,0.003,0.102,0.062,0,synthetic
Indiranagar,12.973992,77.642128,2024-01-10,13,1,Clear,0.0,12.5,1.0,4.3,41.5,20.7,0.011,0.026,0.061,0.086,0,synthetic
Indiranagar,12.975538,77.637353,2024-01-10,14,1,Clear,0.0,12.1,1.0,8.4,41.9,25.7,0.0,0.018,0.038,0.023,0,synthetic
Indiranagar,12.976031,77.643378,2024-01-10,15,1,Clear,0.0,11.6,0.967,10.4,43.9,23.9,0.005,0.034,0.07,0.085,0,synthetic
Indiranagar,12.973262,77.641291,2024-01-10,16,1,Clear,0.0,12.5,1.0,11.8,44.0,25.4,0.0,0.02,0.076,0.029,0,synthetic
Indiranagar,12.973413,77.646088,2024-01-10,17,1,Clear,0.0,12.3,1.0,7.7,47.6,22.3,0.008,0.011,0.06,0.09,0,synthetic
Indiranagar,12.971522,77.638007,2024-01-10,18,1,Clear,0.0,12.0,1.0,3.2,40.9,21.9,0.013,0.008,0.035,0.021,0,synthetic
Indiranagar,12.971177,77.640306,2024-01-10,19,1,Clear,0.0,11.6,0.967,6.0,45.2,22.3,0.055,0.02,0.072,0.09,0,synthetic
Indiranagar,12.974063,77.638075,2024-01-10,20,1,Clear,0.0,11.6,0.967,4.4,45.6,22.3,0.0,0.027,0.045,0.073,1,synthetic
Indiranagar,12.96892,77.643868,2024-01-10,21,1,Clear,0.0,12.0,1.0,9.8,49.2,21.3,0.0,0.008,0.023,0.083,1,synthetic
Indiranagar,12.971392,77.645273,2024-01-10,22,1,Clear,0.0,11.6,0.967,11.1,45.6,17.2,0.001,0.0,0.072,0.019,1,synthetic
Indiranagar,12.968414,77.640786,2024-01-10,23,1,Clear,0.0,11.8,0.983,6.7,45.4,18.4,0.016,0.02,0.049,0.037,1,synthetic
Whitefield,12.969937,77.749279,2024-01-10,0,1,Clear,0.0,11.6,0.967,3.1,48.4,18.8,0.0,0.018,0.052,0.016,1,synthetic
Whitefield,12.969006,77.75228,2024-01-10,1,1,Cloudy,0.0,8.8,0.733,11.8,59.9,17.1,0.058,0.072,0.06,0.148,1,synthetic
Whitefield,12.972244,77.745076,2024-01-10,2,1,Fog,0.2,0.5,0.042,9.4,91.6,16.6,0.049,0.017,0.129,0.564,1,synthetic
Whitefield,12.972083,77.74773,2024-01-10,3,1,Clear,0.0,12.7,1.0,12.6,40.3,16.6,0.01,0.021,0.037,0.087,1,synthetic
Whitefield,12.967187,77.753138,2024-01-10,4,1,Clear,0.0,12.8,1.0,7.9,42.7,17.0,0.021,0.048,0.06,0.044,1,synthetic
Whitefield,12.966347,77.751946,2024-01-10,5,1,Clear,0.0,11.3,0.942,9.1,40.9,22.1,0.045,0.036,0.036,0.067,1,synthetic
Whitefield,12.968769,77.750604,2024-01-10,6,1,Cloudy,0.0,9.5,0.792,10.5,59.6,15.7,0.016,0.009,0.054,0.124,0,synthetic
Whitefield,12.967467,77.751194,2024-01-10,7,1,Cloudy,0.0,9.1,0.758,13.3,64.3,18.4,0.022,0.01,0.088,0.051,0,synthetic
Whitefield,12.973065,77.753703,2024-01-10,8,1,Clear,0.0,11.6,0.967,4.0,44.9,16.7,0.0,0.0,0.073,0.09,0,synthetic
Whitefield,12.965963,77.754831,2024-01-10,9,1,Clear,0.0,12.0,1.0,10.4,43.0,20.7,0.036,0.054,0.039,0.045,0,synthetic
Whitefield,12.965253,77.751322,2024-01-10,10,1,Clear,0.0,12.2,1.0,6.9,48.0,21.7,0.054,0.053,0.047,0.07,0,synthetic
Whitefield,12.965858,77.746641,2024-01-10,11,1,Cloudy,0.0,8.3,0.692,14.9,58.6,22.4,0.008,0.0,0.054,0.082,0,synthetic
Whitefield,12.970386,77.75446,2024-01-10,12,1,Clear,0.0,12.0,1.0,9.0,48.1,21.6,0.054,0.067,0.067,0.086,0,synthetic
Whitefield,12.970587,77.751289,2024-01-10,13,1,Strong Wind,1.13,8.2,0.683,67.6,58.2,20.2,0.033,0.013,0.112,0.534,0,synthetic
Whitefield,12.96771,77.752597,2024-01-10,14,1,Clear,0.0,11.2,0.933,11.5,42.3,25.1,0.009,0.011,0.042,0.008,0,synthetic
Whitefield,12.972739,77.751666,2024-01-10,15,1,Clear,0.0,11.7,0.975,4.9,43.1,24.4,0.029,0.01,0.068,0.068,0,synthetic
Whitefield,12.968962,77.75159,2024-01-10,16,1,Clear,0.0,11.5,0.958,11.5,43.2,25.6,0.0,0.018,0.051,0.062,0,synthetic
Whitefield,12.971237,77.752183,2024-01-10,17,1,Strong Wind,0.97,8.0,0.667,61.8,56.6,22.4,0.0,0.0,0.138,0.48,0,synthetic
Whitefield,12.974502,77.751828,2024-01-10,18,1,Clear,0.0,11.2,0.933,8.9,46.9,21.2,0.04,0.039,0.052,0.073,0,synthetic
Whitefield,12.970653,77.749076,2024-01-10,19,1,Clear,0.0,12.1,1.0,8.1,49.4,22.3,0.055,0.076,0.079,0.007,0,synthetic
Whitefield,12.974568,77.754858,2024-01-10,20,1,Clear,0.0,11.2,0.933,12.1,49.2,21.5,0.048,0.011,0.032,0.07,1,synthetic
Whitefield,12.96893,77.747754,2024-01-10,21,1,Clear,0.0,12.6,1.0,8.5,42.6,22.1,0.0,0.007,0.021,0.082,1,synthetic
Whitefield,12.970538,77.753134,2024-01-10,22,1,Fog,0.22,0.2,0.017,6.0,94.0,19.3,0.049,0.071,0.145,0.566,1,synthetic
